Sample 00145: {'mpuData': {'accelX': 40704, 'accelY': 26390, 'accelZ': 64794}, 'adcData': {'adcX': 0, 'adcY': 19970, 'adcZ': 59912}}
Sample 00146: {'mpuData': {'accelX': 38144, 'accelY': 21526, 'accelZ': 5147}, 'adcData': {'adcX': 0, 'adcY': 5129, 'adcZ': 49677}}
Sample 00147: {'mpuData': {'accelX': 38912, 'accelY': 7958, 'accelZ': 50970}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00148: {'mpuData': {'accelX': 37376, 'accelY': 18454, 'accelZ': 64794}, 'adcData': {'adcX': 0, 'adcY': 7680, 'adcZ': 29958}}
Sample 00149: {'mpuData': {'accelX': 42752, 'accelY': 33046, 'accelZ': 30235}, 'adcData': {'adcX': 0, 'adcY': 45058, 'adcZ': 57608}}
Sample 00150: {'mpuData': {'accelX': 40448, 'accelY': 17686, 'accelZ': 57626}, 'adcData': {'adcX': 0, 'adcY': 521, 'adcZ': 48909}}
Sample 00151: {'mpuData': {'accelX': 40192, 'accelY': 7702, 'accelZ': 1307}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00152: {'mpuData': {'accelX': 39168, 'accelY': 28694, 'accelZ': 5403}, 'adcData': {'adcX': 0, 'adcY': 256, 'adcZ': 20230}}
Sample 00153: {'mpuData': {'accelX': 36352, 'accelY': 26390, 'accelZ': 13339}, 'adcData': {'adcX': 0, 'adcY': 19714, 'adcZ': 58632}}
Sample 00154: {'mpuData': {'accelX': 37888, 'accelY': 13846, 'accelZ': 62490}, 'adcData': {'adcX': 0, 'adcY': 5641, 'adcZ': 49165}}
Sample 00155: {'mpuData': {'accelX': 32768, 'accelY': 21270, 'accelZ': 3099}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00156: {'mpuData': {'accelX': 34048, 'accelY': 16406, 'accelZ': 4379}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 20486}}
Sample 00157: {'mpuData': {'accelX': 37632, 'accelY': 23062, 'accelZ': 21019}, 'adcData': {'adcX': 0, 'adcY': 19458, 'adcZ': 59144}}
